Compound,Date,Favorite Count,Retweet Count,Text
0.4234,Wed Mar 14 12:58:16 +0000 2018,9660,9660,"“The greatest enemy of knowledge is not ignorance, it is the illusion of knowledge.” -Stephen Hawking. We will alwa… https://t.co/WliBtbxEIU"
0.3818,Thu Mar 08 14:01:10 +0000 2018,3118,3118,“There are two powers in the world; one is the sword and the other is the pen. There is a third power stronger than… https://t.co/gjbyF6alPW
0.9576,Sat Mar 03 22:43:23 +0000 2018,1020,1020,So proud of @AuburnMBB @coachbrucepearl on winning the SEC Championship. Congrats! Party like its 1999!
0.7003,Fri Mar 02 16:29:37 +0000 2018,1640,1640,"Stunning photos that capture the colorful festival of Holi by @prashvish in Nandgaon, @amitmehraphoto in Vrindavan… https://t.co/7yDoSvRWNC"
0.6588,Wed Feb 28 14:55:40 +0000 2018,543,543,"Another great way to close those Activity Rings this ski season!
https://t.co/GxZ5RHji74"
0.7712,Sun Feb 25 00:07:39 +0000 2018,425,425,Thank you for the warm welcome Austria! 🇦🇹 https://t.co/26aD4caxVC
0.4939,Sat Feb 24 16:53:46 +0000 2018,15452,15452,"Remembering Steve, our friend and leader, on his 63rd birthday: ""The thing that bound us together at Apple was the… https://t.co/d68tUiF8zV"
0.6808,Mon Feb 19 18:08:32 +0000 2018,1283,1283,"“Let us have faith that right makes might, and in that faith, let us, to the end, dare to do our duty as we underst… https://t.co/rdrAdgXWrw"
0.8932,Fri Feb 16 01:54:07 +0000 2018,1064,1064,"Wishing our customers around the world a happy, healthy and prosperous #YearoftheDog 新年兴旺!"
0.5994,Thu Feb 15 00:33:05 +0000 2018,2255,2255,"We pray for the victims of today’s shooting in Florida, for their families and loved ones, and for an end to the se… https://t.co/ULhOrdImxl"
0.0,Sat Feb 10 23:32:20 +0000 2018,416,416,"Brasil, aproveitem o feriado dessa festa tão bonita! 🇧🇷 #ShotoniPhone by @lalai #iPhoneX https://t.co/BdNYPUmWXT"
0.658,Fri Feb 09 21:08:22 +0000 2018,1028,1028,"Hey Siri, play my weekend playlist! Excited to meet new HomePod owners at our store at Apple Park today! https://t.co/qfrZDuWemv"
0.7901,Thu Feb 08 14:34:25 +0000 2018,1209,1209,Time to do something good for your heart! Earn this Heart Month Challenge award on Apple Watch by closing your Exer… https://t.co/9Om3uud0sN
0.8622,Tue Feb 06 20:42:48 +0000 2018,822,822,"Listen up! @TechCrunch says: ""Apple’s HomePod is easily the best sounding mainstream smart speaker ever.” https://t.co/TFdIxPSrHG"
0.6124,Wed Jan 31 23:16:31 +0000 2018,1187,1187,"Gorgeous #ShotoniPhone photos from around the world taken by lukeshadbolt in Niseko, Japan, @Izkiz in Cappadocia, T… https://t.co/xCq0VFIo8l"
0.9337,Tue Jan 30 21:26:24 +0000 2018,377,377,Thanks @andyyto for sharing this stunning #ShotoniPhone photo. Love seeing what our customers are creating with iPh… https://t.co/7wGSB9hv7o
-0.8316,Sat Jan 27 18:52:24 +0000 2018,2321,2321,The @HolocaustMuseum is a profound reminder that we must speak up in the face of hate and racism in our world. We m… https://t.co/K7NM9Htm1I
0.8832,Tue Jan 23 15:17:17 +0000 2018,592,592,"Thank you, Toronto, for showing me your culture, your passion, and your creativity! Hope to see you again soon. / M… https://t.co/cHRFICQ0PB"
0.891,Tue Jan 23 14:58:18 +0000 2018,344,344,"Congrats and best of luck to these year 4 students at @SheridanCollege, kicking off their app development projects… https://t.co/LBVzvQX0qj"
0.5562,Tue Jan 23 03:14:31 +0000 2018,362,362,Thanks @MapleLeafs and @RealKyper for an exciting night of hockey! Tough Loss. #GoLeafsGo / Merci aux @MapleLeafs e… https://t.co/bUNf72eFMm
0.9451,Tue Jan 23 02:12:32 +0000 2018,315,315,Loved what I heard at the studio today. Great to meet you @DanielCaesar and best of luck this week at the #Grammys.… https://t.co/UAH0oVfF4B
0.807,Mon Jan 22 20:31:31 +0000 2018,696,696,Thanks @tobi and @Shopify for showing me your latest work with AR and VR. Great to be back in Canada! / Merci @tobi… https://t.co/HrWxyIFGwu
0.9423,Mon Jan 22 13:59:51 +0000 2018,2884,2884,"Apple is proud to support the courageous, visionary @Malala in advancing every girl’s right to 12 years of free, sa… https://t.co/IHp3cmASbv"
0.5574,Fri Jan 19 17:11:29 +0000 2018,521,521,"Thanks to the students, teachers and staff @HarlowCollege outside London, one of the first in Europe to adopt Apple… https://t.co/a9MrN7bleR"
0.6688,Thu Jan 18 02:20:38 +0000 2018,420,420,Hello from the biggest little store in the Apple family! Loved meeting our Reno team—thanks for all you do! https://t.co/rlxNydOqt4
0.0,Wed Jan 17 21:40:09 +0000 2018,966,966,"Breaking ground in Reno today with @GovSandoval &amp; @MayorSchieve as part of our data center expansion plan, one of m… https://t.co/DT4Gw0Gdsg"
0.6114,Tue Jan 16 23:30:04 +0000 2018,209,209,"It was a pleasure talking to you, @rebeccaekahn! Looking forward to more conversations between Apple and the bright… https://t.co/T5HV7X5C7q"
0.6369,Mon Jan 15 22:07:35 +0000 2018,794,794,MLK reminded us to live our values and serve our communities. Thank you to the hundreds of Apple employees who volu… https://t.co/8FMAWN0QC2
0.6414,Mon Jan 15 13:29:02 +0000 2018,5186,5186,“Darkness cannot drive out darkness; only light can do that. Hate cannot drive out hate; only love can do that.” Le… https://t.co/BQve2nmLqt
-0.3182,Thu Jan 11 03:26:10 +0000 2018,891,891,"Our prayers are with the victims of the Southern California mudslides, their families and the first responders work… https://t.co/De2CnhuzCR"
0.4019,Mon Jan 01 14:57:53 +0000 2018,3682,3682,"As we begin 2018, my New Year’s wish for everyone is in the words RFK spoke nearly half a century ago. “Let us dedi… https://t.co/mNO9oMCHMT"
0.6988,Mon Jan 01 05:12:41 +0000 2018,3633,3633,"Goodbye 2017, Hello 2018! The best year yet starts now. #HappyNewYear to everyone!"
0.9274,Mon Dec 25 14:35:39 +0000 2017,2500,2500,"To my friends and coworkers, and everyone celebrating around the world, I wish you and your families a joyous, peac… https://t.co/PmJOq5azdb"
0.7783,Fri Dec 22 20:51:53 +0000 2017,1069,1069,"Here’s to the tens of thousands of dedicated Apple Retail employees around the world, spreading joy at the busiest… https://t.co/dZ0zrZTfit"
0.0,Thu Dec 21 15:09:08 +0000 2017,2997,2997,You never know who you’ll run into on the Apple campus! The power of ARKit is coming to @PokemonGoApp today — takin… https://t.co/wwDk9NbAng
0.0,Mon Dec 18 01:31:40 +0000 2017,434,434,"This story makes our hearts sing! @Adam_G88 and the P177Q iPad Band, you are all rock stars. Keep making music!… https://t.co/esDm4eTUhe"
0.4019,Thu Dec 14 19:53:51 +0000 2017,625,625,"If ever there were an occasion to come together to help people, this is it. Congress must act before the end of the… https://t.co/ImOrnVhsO3"
0.6239,Thu Dec 14 14:37:28 +0000 2017,2188,2188,iMac Pro is here! Workstation-class performance and that brilliant 5K display — we think you pros are going to love… https://t.co/BEXw4KAeyZ
0.7901,Wed Dec 13 18:53:56 +0000 2017,525,525,"Innovation in the heart of Texas! Proud to team up with @Finisar, the latest recipient from our Advanced Manufactur… https://t.co/bDykfC9cwy"
0.5994,Tue Dec 12 21:28:03 +0000 2017,377,377,Excited to work with @ChicagosMayor @ChiPubSchools @ChiCityColleges &amp; local organizations like @1871Chicago to help… https://t.co/NuXx6DS5o8
